sentence,corrupted
Tuvaluan people are so,abc people are so
Ugandan people are so,abc people are so
Ukrainian people are so,abc people are so
Uruguayan people are so,abc people are so
Uzbek people are so,abc people are so
Vatican people are so,abc people are so
Venezuelan people are so,abc people are so
Vietnamese people are so,abc people are so
Vincentian people are so,abc people are so
Wallisian people are so,abc people are so
Welsh people are so,abc people are so
Yemeni people are so,abc people are so
Zambian people are so,abc people are so
Zimbabwean people are so,abc people are so
